gender,month,median,stdev,1st,3rd,5th,15th,25th,50th,75th,85th,95th,97th,99th
female,61,109.6016,4.7731,98.5,100.6,101.8,104.7,106.4,109.6,112.8,114.5,117.5,118.6,120.7
female,62,110.1258,4.8059,98.9,101.1,102.2,105.1,106.9,110.1,113.4,115.1,118,119.2,121.3
female,63,110.6451,4.8385,99.4,101.5,102.7,105.6,107.4,110.6,113.9,115.7,118.6,119.7,121.9
female,64,111.1596,4.871,99.8,102,103.1,106.1,107.9,111.2,114.4,116.2,119.2,120.3,122.5
female,65,111.6696,4.9023,100.3,102.4,103.6,106.6,108.4,111.7,115,116.8,119.7,120.9,123.1
female,66,112.1753,4.9346,100.7,102.9,104.1,107.1,108.8,112.2,115.5,117.3,120.3,121.5,123.7
female,67,112.6767,4.9657,101.1,103.3,104.5,107.5,109.3,112.7,116,117.8,120.8,122,124.2
female,68,113.174,4.9966,101.6,103.8,105,108,109.8,113.2,116.5,118.4,121.4,122.6,124.8
female,69,113.6672,5.0275,102,104.2,105.4,108.5,110.3,113.7,117.1,118.9,121.9,123.1,125.4
female,70,114.1565,5.0583,102.4,104.6,105.8,108.9,110.7,114.2,117.6,119.4,122.5,123.7,125.9
female,71,114.6421,5.089,102.8,105.1,106.3,109.4,111.2,114.6,118.1,119.9,123,124.2,126.5
female,72,115.1244,5.1196,103.2,105.5,106.7,109.8,111.7,115.1,118.6,120.4,123.5,124.8,127
female,73,115.6039,5.149,103.6,105.9,107.1,110.3,112.1,115.6,119.1,120.9,124.1,125.3,127.6
female,74,116.0812,5.1784,104,106.3,107.6,110.7,112.6,116.1,119.6,121.4,124.6,125.8,128.1
female,75,116.5568,5.2089,104.4,106.8,108,111.2,113,116.6,120.1,122,125.1,126.4,128.7
female,76,117.0311,5.2371,104.8,107.2,108.4,111.6,113.5,117,120.6,122.5,125.6,126.9,129.2
female,77,117.5044,5.2665,105.3,107.6,108.8,112,114,117.5,121.1,123,126.2,127.4,129.8
female,78,117.9769,5.296,105.7,108,109.3,112.5,114.4,118,121.5,123.5,126.7,127.9,130.3
female,79,118.4489,5.3243,106.1,108.4,109.7,112.9,114.9,118.4,122,124,127.2,128.5,130.8
female,80,118.9208,5.3538,106.5,108.9,110.1,113.4,115.3,118.9,122.5,124.5,127.7,129,131.4
female,81,119.3926,5.3822,106.9,109.3,110.5,113.8,115.8,119.4,123,125,128.2,129.5,131.9
female,82,119.8648,5.4107,107.3,109.7,111,114.3,116.2,119.9,123.5,125.5,128.8,130,132.5
female,83,120.3374,5.4393,107.7,110.1,111.4,114.7,116.7,120.3,124,126,129.3,130.6,133
female,84,120.8105,5.4667,108.1,110.5,111.8,115.1,117.1,120.8,124.5,126.5,129.8,131.1,133.5
female,85,121.2843,5.4954,108.5,110.9,112.2,115.6,117.6,121.3,125,127,130.3,131.6,134.1
female,86,121.7587,5.523,108.9,111.4,112.7,116,118,121.8,125.5,127.5,130.8,132.1,134.6
female,87,122.2338,5.5519,109.3,111.8,113.1,116.5,118.5,122.2,126,128,131.4,132.7,135.1
female,88,122.7098,5.5796,109.7,112.2,113.5,116.9,118.9,122.7,126.5,128.5,131.9,133.2,135.7
female,89,123.1868,5.6062,110.1,112.6,114,117.4,119.4,123.2,127,129,132.4,133.7,136.2
female,90,123.6646,5.6342,110.6,113.1,114.4,117.8,119.9,123.7,127.5,129.5,132.9,134.3,136.8
female,91,124.1435,5.6622,111,113.5,114.8,118.3,120.3,124.1,128,130,133.5,134.8,137.3
female,92,124.6234,5.6891,111.4,113.9,115.3,118.7,120.8,124.6,128.5,130.5,134,135.3,137.9
female,93,125.1045,5.716,111.8,114.4,115.7,119.2,121.2,125.1,129,131,134.5,135.9,138.4
female,94,125.5869,5.7431,112.2,114.8,116.1,119.6,121.7,125.6,129.5,131.5,135,136.4,138.9
female,95,126.0706,5.7703,112.6,115.2,116.6,120.1,122.2,126.1,130,132.1,135.6,136.9,139.5
female,96,126.5558,5.7975,113.1,115.7,117,120.5,122.6,126.6,130.5,132.6,136.1,137.5,140
female,97,127.0424,5.8249,113.5,116.1,117.5,121,123.1,127,131,133.1,136.6,138,140.6
female,98,127.5304,5.8511,113.9,116.5,117.9,121.5,123.6,127.5,131.5,133.6,137.2,138.5,141.1
female,99,128.0199,5.8774,114.3,117,118.4,121.9,124.1,128,132,134.1,137.7,139.1,141.7
female,100,128.5109,5.9038,114.8,117.4,118.8,122.4,124.5,128.5,132.5,134.6,138.2,139.6,142.2
female,101,129.0035,5.9303,115.2,117.9,119.2,122.9,125,129,133,135.2,138.8,140.2,142.8
female,102,129.4975,5.9569,115.6,118.3,119.7,123.3,125.5,129.5,133.5,135.7,139.3,140.7,143.4
female,103,129.9932,5.9823,116.1,118.7,120.2,123.8,126,130,134,136.2,139.8,141.2,143.9
female,104,130.4904,6.0078,116.5,119.2,120.6,124.3,126.4,130.5,134.5,136.7,140.4,141.8,144.5
female,105,130.9891,6.0347,117,119.6,121.1,124.7,126.9,131,135.1,137.2,140.9,142.3,145
female,106,131.4895,6.059,117.4,120.1,121.5,125.2,127.4,131.5,135.6,137.8,141.5,142.9,145.6
female,107,131.9912,6.0848,117.8,120.5,122,125.7,127.9,132,136.1,138.3,142,143.4,146.1
female,108,132.4944,6.1106,118.3,121,122.4,126.2,128.4,132.5,136.6,138.8,142.5,144,146.7
female,109,132.9989,6.1352,118.7,121.5,122.9,126.6,128.9,133,137.1,139.4,143.1,144.5,147.3
female,110,133.5046,6.1599,119.2,121.9,123.4,127.1,129.4,133.5,137.7,139.9,143.6,145.1,147.8
female,111,134.0118,6.1846,119.6,122.4,123.8,127.6,129.8,134,138.2,140.4,144.2,145.6,148.4
female,112,134.5202,6.2095,120.1,122.8,124.3,128.1,130.3,134.5,138.7,141,144.7,146.2,149
female,113,135.0299,6.233,120.5,123.3,124.8,128.6,130.8,135,139.2,141.5,145.3,146.8,149.5
female,114,135.541,6.2579,121,123.8,125.2,129.1,131.3,135.5,139.8,142,145.8,147.3,150.1
female,115,136.0533,6.2816,121.4,124.2,125.7,129.5,131.8,136.1,140.3,142.6,146.4,147.9,150.7
female,116,136.567,6.3039,121.9,124.7,126.2,130,132.3,136.6,140.8,143.1,146.9,148.4,151.2
female,117,137.0821,6.3277,122.4,125.2,126.7,130.5,132.8,137.1,141.4,143.6,147.5,149,151.8
female,118,137.5987,6.3516,122.8,125.7,127.2,131,133.3,137.6,141.9,144.2,148,149.5,152.4
female,119,138.1167,6.3741,123.3,126.1,127.6,131.5,133.8,138.1,142.4,144.7,148.6,150.1,152.9
female,120,138.6363,6.3967,123.8,126.6,128.1,132,134.3,138.6,143,145.3,149.2,150.7,153.5
female,121,139.1575,6.4179,124.2,127.1,128.6,132.5,134.8,139.2,143.5,145.8,149.7,151.2,154.1
female,122,139.6803,6.4407,124.7,127.6,129.1,133,135.3,139.7,144,146.4,150.3,151.8,154.7
female,123,140.2049,6.462,125.2,128.1,129.6,133.5,135.8,140.2,144.6,146.9,150.8,152.4,155.2
female,124,140.7313,6.4835,125.6,128.5,130.1,134,136.4,140.7,145.1,147.5,151.4,152.9,155.8
female,125,141.2594,6.505,126.1,129,130.6,134.5,136.9,141.3,145.6,148,152,153.5,156.4
female,126,141.7892,6.5266,126.6,129.5,131.1,135,137.4,141.8,146.2,148.6,152.5,154.1,157
female,127,142.3206,6.5467,127.1,130,131.6,135.5,137.9,142.3,146.7,149.1,153.1,154.6,157.6
female,128,142.8534,6.567,127.6,130.5,132.1,136,138.4,142.9,147.3,149.7,153.7,155.2,158.1
female,129,143.3874,6.5872,128.1,131,132.6,136.6,138.9,143.4,147.8,150.2,154.2,155.8,158.7
female,130,143.9222,6.6075,128.6,131.5,133.1,137.1,139.5,143.9,148.4,150.8,154.8,156.3,159.3
female,131,144.4575,6.6277,129,132,133.6,137.6,140,144.5,148.9,151.3,155.4,156.9,159.9
female,132,144.9929,6.6465,129.5,132.5,134.1,138.1,140.5,145,149.5,151.9,155.9,157.5,160.5
female,133,145.528,6.6652,130,133,134.6,138.6,141,145.5,150,152.4,156.5,158.1,161
female,134,146.0622,6.6838,130.5,133.5,135.1,139.1,141.6,146.1,150.6,153,157.1,158.6,161.6
female,135,146.5951,6.7009,131,134,135.6,139.7,142.1,146.6,151.1,153.5,157.6,159.2,162.2
female,136,147.1262,6.7193,131.5,134.5,136.1,140.2,142.6,147.1,151.7,154.1,158.2,159.8,162.8
female,137,147.6548,6.736,132,135,136.6,140.7,143.1,147.7,152.2,154.6,158.7,160.3,163.3
female,138,148.1804,6.7526,132.5,135.5,137.1,141.2,143.6,148.2,152.7,155.2,159.3,160.9,163.9
female,139,148.7023,6.7689,133,136,137.6,141.7,144.1,148.7,153.3,155.7,159.8,161.4,164.4
female,140,149.2197,6.7835,133.4,136.5,138.1,142.2,144.6,149.2,153.8,156.3,160.4,162,165
female,141,149.7322,6.7993,133.9,136.9,138.5,142.7,145.1,149.7,154.3,156.8,160.9,162.5,165.6
female,142,150.239,6.8133,134.4,137.4,139,143.2,145.6,150.2,154.8,157.3,161.4,163.1,166.1
female,143,150.7394,6.827,134.9,137.9,139.5,143.7,146.1,150.7,155.3,157.8,162,163.6,166.6
female,144,151.2327,6.8403,135.3,138.4,140,144.1,146.6,151.2,155.8,158.3,162.5,164.1,167.1
female,145,151.7182,6.8516,135.8,138.8,140.4,144.6,147.1,151.7,156.3,158.8,163,164.6,167.7
female,146,152.1951,6.864,136.2,139.3,140.9,145.1,147.6,152.2,156.8,159.3,163.5,165.1,168.2
female,147,152.6628,6.8744,136.7,139.7,141.4,145.5,148,152.7,157.3,159.8,164,165.6,168.7
female,148,153.1206,6.8858,137.1,140.2,141.8,146,148.5,153.1,157.8,160.3,164.4,166.1,169.1
female,149,153.5678,6.8952,137.5,140.6,142.2,146.4,148.9,153.6,158.2,160.7,164.9,166.5,169.6
female,150,154.0041,6.904,137.9,141,142.6,146.8,149.3,154,158.7,161.2,165.4,167,170.1
female,151,154.429,6.9122,138.3,141.4,143.1,147.3,149.8,154.4,159.1,161.6,165.8,167.4,170.5
female,152,154.8423,6.9184,138.7,141.8,143.5,147.7,150.2,154.8,159.5,162,166.2,167.9,170.9
female,153,155.2437,6.9254,139.1,142.2,143.9,148.1,150.6,155.2,159.9,162.4,166.6,168.3,171.4
female,154,155.633,6.9319,139.5,142.6,144.2,148.4,151,155.6,160.3,162.8,167,168.7,171.8
female,155,156.0101,6.9362,139.9,143,144.6,148.8,151.3,156,160.7,163.2,167.4,169.1,172.1
female,156,156.3748,6.9415,140.2,143.3,145,149.2,151.7,156.4,161.1,163.6,167.8,169.4,172.5
female,157,156.7269,6.9446,140.6,143.7,145.3,149.5,152,156.7,161.4,163.9,168.2,169.8,172.9
female,158,157.0666,6.9471,140.9,144,145.6,149.9,152.4,157.1,161.8,164.3,168.5,170.1,173.2
female,159,157.3936,6.9489,141.2,144.3,146,150.2,152.7,157.4,162.1,164.6,168.8,170.5,173.6
female,160,157.7082,6.9518,141.5,144.6,146.3,150.5,153,157.7,162.4,164.9,169.1,170.8,173.9
female,161,158.0102,6.9524,141.8,144.9,146.6,150.8,153.3,158,162.7,165.2,169.4,171.1,174.2
female,162,158.2997,6.9525,142.1,145.2,146.9,151.1,153.6,158.3,163,165.5,169.7,171.4,174.5
female,163,158.5771,6.952,142.4,145.5,147.1,151.4,153.9,158.6,163.3,165.8,170,171.7,174.8
female,164,158.8425,6.9509,142.7,145.8,147.4,151.6,154.2,158.8,163.5,166,170.3,171.9,175
female,165,159.0961,6.9509,142.9,146,147.7,151.9,154.4,159.1,163.8,166.3,170.5,172.2,175.3
female,166,159.3382,6.9487,143.2,146.3,147.9,152.1,154.7,159.3,164,166.5,170.8,172.4,175.5
female,167,159.5691,6.946,143.4,146.5,148.1,152.4,154.9,159.6,164.3,166.8,171,172.6,175.7
female,168,159.789,6.9428,143.6,146.7,148.4,152.6,155.1,159.8,164.5,167,171.2,172.8,175.9
female,169,159.9983,6.9391,143.9,146.9,148.6,152.8,155.3,160,164.7,167.2,171.4,173,176.1
female,170,160.1971,6.9365,144.1,147.2,148.8,153,155.5,160.2,164.9,167.4,171.6,173.2,176.3
female,171,160.3857,6.9319,144.3,147.3,149,153.2,155.7,160.4,165.1,167.6,171.8,173.4,176.5
female,172,160.5643,6.9267,144.5,147.5,149.2,153.4,155.9,160.6,165.2,167.7,172,173.6,176.7
female,173,160.7332,6.9228,144.6,147.7,149.3,153.6,156.1,160.7,165.4,167.9,172.1,173.8,176.8
female,174,160.8927,6.9168,144.8,147.9,149.5,153.7,156.2,160.9,165.6,168.1,172.3,173.9,177
female,175,161.043,6.912,145,148,149.7,153.9,156.4,161,165.7,168.2,172.4,174,177.1
female,176,161.1845,6.9051,145.1,148.2,149.8,154,156.5,161.2,165.8,168.3,172.5,174.2,177.2
female,177,161.3176,6.8996,145.3,148.3,150,154.2,156.7,161.3,166,168.5,172.7,174.3,177.4
female,178,161.4425,6.8936,145.4,148.5,150.1,154.3,156.8,161.4,166.1,168.6,172.8,174.4,177.5
female,179,161.5596,6.8873,145.5,148.6,150.2,154.4,156.9,161.6,166.2,168.7,172.9,174.5,177.6
female,180,161.6692,6.879,145.7,148.7,150.4,154.5,157,161.7,166.3,168.8,173,174.6,177.7
female,181,161.7717,6.8721,145.8,148.8,150.5,154.6,157.1,161.8,166.4,168.9,173.1,174.7,177.8
female,182,161.8673,6.8648,145.9,149,150.6,154.8,157.2,161.9,166.5,169,173.2,174.8,177.8
female,183,161.9564,6.8589,146,149.1,150.7,154.8,157.3,162,166.6,169.1,173.2,174.9,177.9
female,184,162.0393,6.851,146.1,149.2,150.8,154.9,157.4,162,166.7,169.1,173.3,174.9,178
female,185,162.1164,6.8429,146.2,149.2,150.9,155,157.5,162.1,166.7,169.2,173.4,175,178
female,186,162.188,6.8346,146.3,149.3,150.9,155.1,157.6,162.2,166.8,169.3,173.4,175,178.1
female,187,162.2542,6.8277,146.4,149.4,151,155.2,157.6,162.3,166.9,169.3,173.5,175.1,178.1
female,188,162.3154,6.8189,146.5,149.5,151.1,155.2,157.7,162.3,166.9,169.4,173.5,175.1,178.2
female,189,162.3719,6.8115,146.5,149.6,151.2,155.3,157.8,162.4,167,169.4,173.6,175.2,178.2
female,190,162.4239,6.8039,146.6,149.6,151.2,155.4,157.8,162.4,167,169.5,173.6,175.2,178.3
female,191,162.4717,6.7946,146.7,149.7,151.3,155.4,157.9,162.5,167.1,169.5,173.6,175.3,178.3
female,192,162.5156,6.7867,146.7,149.8,151.4,155.5,157.9,162.5,167.1,169.6,173.7,175.3,178.3
female,193,162.556,6.7786,146.8,149.8,151.4,155.5,158,162.6,167.1,169.6,173.7,175.3,178.3
female,194,162.5933,6.7704,146.8,149.9,151.5,155.6,158,162.6,167.2,169.6,173.7,175.3,178.3
female,195,162.6276,6.7621,146.9,149.9,151.5,155.6,158.1,162.6,167.2,169.6,173.8,175.3,178.4
female,196,162.6594,6.7536,146.9,150,151.6,155.7,158.1,162.7,167.2,169.7,173.8,175.4,178.4
female,197,162.689,6.7467,147,150,151.6,155.7,158.1,162.7,167.2,169.7,173.8,175.4,178.4
female,198,162.7165,6.7381,147,150,151.6,155.7,158.2,162.7,167.3,169.7,173.8,175.4,178.4
female,199,162.7425,6.731,147.1,150.1,151.7,155.8,158.2,162.7,167.3,169.7,173.8,175.4,178.4
female,200,162.767,6.7223,147.1,150.1,151.7,155.8,158.2,162.8,167.3,169.7,173.8,175.4,178.4
female,201,162.7904,6.7151,147.2,150.2,151.7,155.8,158.3,162.8,167.3,169.8,173.8,175.4,178.4
female,202,162.8126,6.7063,147.2,150.2,151.8,155.9,158.3,162.8,167.3,169.8,173.8,175.4,178.4
female,203,162.834,6.699,147.3,150.2,151.8,155.9,158.3,162.8,167.4,169.8,173.9,175.4,178.4
female,204,162.8545,6.6917,147.3,150.3,151.8,155.9,158.3,162.9,167.4,169.8,173.9,175.4,178.4
female,205,162.8743,6.6844,147.3,150.3,151.9,155.9,158.4,162.9,167.4,169.8,173.9,175.4,178.4
female,206,162.8935,6.677,147.4,150.3,151.9,156,158.4,162.9,167.4,169.8,173.9,175.5,178.4
female,207,162.912,6.6696,147.4,150.4,151.9,156,158.4,162.9,167.4,169.8,173.9,175.5,178.4
female,208,162.93,6.6622,147.4,150.4,152,156,158.4,162.9,167.4,169.8,173.9,175.5,178.4
female,209,162.9476,6.6548,147.5,150.4,152,156.1,158.5,162.9,167.4,169.8,173.9,175.5,178.4
female,210,162.9649,6.649,147.5,150.5,152,156.1,158.5,163,167.5,169.9,173.9,175.5,178.4
female,211,162.9817,6.6415,147.5,150.5,152.1,156.1,158.5,163,167.5,169.9,173.9,175.5,178.4
female,212,162.9983,6.6357,147.6,150.5,152.1,156.1,158.5,163,167.5,169.9,173.9,175.5,178.4
female,213,163.0144,6.6282,147.6,150.5,152.1,156.1,158.5,163,167.5,169.9,173.9,175.5,178.4
female,214,163.03,6.6223,147.6,150.6,152.1,156.2,158.6,163,167.5,169.9,173.9,175.5,178.4
female,215,163.0451,6.6164,147.7,150.6,152.2,156.2,158.6,163,167.5,169.9,173.9,175.5,178.4
female,216,163.0595,6.6088,147.7,150.6,152.2,156.2,158.6,163.1,167.5,169.9,173.9,175.5,178.4
female,217,163.0733,6.6028,147.7,150.7,152.2,156.2,158.6,163.1,167.5,169.9,173.9,175.5,178.4
female,218,163.0862,6.5968,147.7,150.7,152.2,156.2,158.6,163.1,167.5,169.9,173.9,175.5,178.4
female,219,163.0982,6.5908,147.8,150.7,152.3,156.3,158.7,163.1,167.5,169.9,173.9,175.5,178.4
female,220,163.1092,6.5847,147.8,150.7,152.3,156.3,158.7,163.1,167.6,169.9,173.9,175.5,178.4
female,221,163.1192,6.5802,147.8,150.7,152.3,156.3,158.7,163.1,167.6,169.9,173.9,175.5,178.4
female,222,163.1279,6.5741,147.8,150.8,152.3,156.3,158.7,163.1,167.6,169.9,173.9,175.5,178.4
female,223,163.1355,6.5678,147.9,150.8,152.3,156.3,158.7,163.1,167.6,169.9,173.9,175.5,178.4
female,224,163.1418,6.5632,147.9,150.8,152.3,156.3,158.7,163.1,167.6,169.9,173.9,175.5,178.4
female,225,163.1469,6.5569,147.9,150.8,152.4,156.4,158.7,163.1,167.6,169.9,173.9,175.5,178.4
